"query","search interest","increase percent"
"you such a tsundere",43,"Breakout"
"you're a tsundere",26,"Breakout"
"you are such a tsundere",25,"Breakout"
"google you are a tsundere",13,"Breakout"
"google are you a tsundere",13,"Breakout"
"are you a tsundere google",13,"Breakout"
"you are a tsundere google",13,"Breakout"
"you re a tsundere",13,"Breakout"
"youre a tsundere",12,"Breakout"
"your such a tsundere",12,"Breakout"
"you're such a tsundere",11,"Breakout"
"why are you a tsundere",9,"Breakout"
"you're a yandere",8,"Breakout"
"kuudere",8,"Breakout"
"your a yandere",7,"Breakout"
"dandere",7,"Breakout"
"deredere",6,"Breakout"
"you re a yandere",6,"Breakout"
"youre such a tsundere",6,"Breakout"
"google you're a tsundere",5,"Breakout"
"you're a tsundere google",5,"Breakout"
"google your a tsundere",5,"Breakout"
"your a tsundere google",5,"Breakout"
"google you are such a tsundere",5,"Breakout"
"you are such a tsundere google",5,"Breakout"
"you re such a yandere",4,"Breakout"
"you're such a yandere",4,"Breakout"
"google you re such a tsundere",4,"Breakout"
"you are a dandere",4,"Breakout"
"you re such a tsundere google",4,"Breakout"
"im not a tsundere",4,"Breakout"
"you are such a yandere",4,"Breakout"
"you are a deredere",4,"Breakout"
"you're a tsundere aren't you",4,"Breakout"
"why are you such a tsundere",4,"Breakout"
"google you're such a tsundere",4,"Breakout"
"you're such a tsundere google",4,"Breakout"
"youre a yandere",4,"Breakout"
"your such a yandere",4,"Breakout"
"your such a tsundere google",4,"Breakout"
"google your such a tsundere",4,"Breakout"
"tsundere song",4,"Breakout"
"google ai",4,"Breakout"
"you're a kuudere",4,"Breakout"
"gemini",3,"Breakout"
"are you a tsundere quiz",3,"Breakout"
"its not like i like you",3,"Breakout"
"gemini are you a tsundere",3,"Breakout"
"are you a tsundere gemini",3,"Breakout"
"baka",3,"Breakout"